date,firefox-version,firefox-interop-2026-anchor-positioning,firefox-interop-2026-attr,firefox-interop-2026-container-style-queries,firefox-interop-2026-contrast-color,firefox-interop-2026-custom-highlights,firefox-interop-2026-dialogs-and-popovers,firefox-interop-2026-fetch,firefox-interop-2026-indexeddb,firefox-interop-2026-jspi-for-wasm,firefox-interop-2026-media-pseudo-classes,firefox-interop-2026-navigation,firefox-interop-2026-scoped-custom-element-registries,firefox-interop-2026-scroll-driven-animations,firefox-interop-2026-scroll-snap,firefox-interop-2026-shape,firefox-interop-2026-view-transitions,firefox-interop-2026-webcompat,firefox-interop-2026-webrtc,firefox-interop-2026-webtransport,firefox-interop-2026-zoom,interop-interop-2026-anchor-positioning,interop-interop-2026-attr,interop-interop-2026-container-style-queries,interop-interop-2026-contrast-color,interop-interop-2026-custom-highlights,interop-interop-2026-dialogs-and-popovers,interop-interop-2026-fetch,interop-interop-2026-indexeddb,interop-interop-2026-jspi-for-wasm,interop-interop-2026-media-pseudo-classes,interop-interop-2026-navigation,interop-interop-2026-scoped-custom-element-registries,interop-interop-2026-scroll-driven-animations,interop-interop-2026-scroll-snap,interop-interop-2026-shape,interop-interop-2026-view-transitions,interop-interop-2026-webcompat,interop-interop-2026-webrtc,interop-interop-2026-webtransport,interop-interop-2026-zoom,revision,metadata-revision
2026-01-30T21:13:06,20260130211306,872,710,551,960,713,785,713,41,1000,0,877,16,325,579,964,800,844,723,781,1000,872,710,551,960,713,785,713,41,1000,0,877,16,325,579,964,800,844,723,781,1000,fda5656fd125db4b2f2b002f71c01ac39ab3fa6d,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-01-31T09:17:43,20260131091743,872,710,551,960,713,785,713,41,1000,0,877,16,325,579,964,800,844,723,781,1000,872,710,551,960,713,785,713,41,1000,0,877,16,325,579,964,800,844,723,781,1000,1be4ab5933df952b162ffc532e988c8b2d3e5977,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-01-31T21:14:41,20260131211441,872,710,551,960,713,785,713,41,1000,0,889,16,318,579,964,800,844,723,781,1000,872,710,551,960,713,785,713,41,1000,0,889,16,318,579,964,800,844,723,781,1000,b5da8b2aff10060d62ed2d421e49cfee00213b05,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-02-01T09:03:14,20260201090314,872,710,551,960,713,785,713,41,1000,0,889,16,318,579,964,800,844,723,781,1000,872,710,551,960,713,785,713,41,1000,0,889,16,318,579,964,800,844,723,781,1000,78520cf0b7c85ace4d6377edad700fb6383784a1,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-02-01T21:12:35,20260201211235,872,710,551,960,713,785,713,41,1000,0,889,16,318,587,964,800,844,723,781,1000,872,710,551,960,713,785,713,41,1000,0,889,16,318,587,964,800,844,723,781,1000,6be6ece4441c769c3be1e624d04c90990bbc3024,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-02-02T15:52:22,20260202155222,872,710,551,960,713,785,713,41,1000,0,889,16,318,579,964,800,844,723,781,1000,872,710,551,960,713,785,713,41,1000,0,889,16,318,579,964,800,844,723,781,1000,606d846cb1c65339c8e4d82b83a58ce606e748ce,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-02-02T21:38:05,20260202213805,872,710,551,960,713,785,713,41,1000,0,889,16,325,579,964,800,844,723,781,1000,872,710,551,960,713,785,713,41,1000,0,889,16,325,579,964,800,844,723,781,1000,6ef2f254c467452eea385f3ac9a472caa48cef9c,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-02-03T04:43:05,20260203044305,872,710,551,960,713,785,713,41,1000,0,889,16,325,579,964,800,844,723,781,1000,872,710,551,960,713,785,713,41,1000,0,889,16,325,579,964,800,844,723,781,1000,df1073e2b9182531e21dedc0c119b04a4ca33143,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-02-03T09:28:03,20260203092803,872,710,551,960,713,785,713,41,1000,0,886,16,325,579,964,800,733,723,781,1000,872,710,551,960,713,785,713,41,1000,0,886,16,325,579,964,800,733,723,781,1000,0aed7c2fd1d81e9b1cbdbe64a009f22fd86e566f,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-02-04T21:44:33,20260204214433,958,710,551,960,713,785,713,41,1000,0,889,16,318,579,964,802,888,723,781,1000,958,710,551,960,713,785,713,41,1000,0,889,16,318,579,964,802,888,723,781,1000,73cbf17ce89de69dcb6dcb99c2a72a10dd2643c6,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-02-05T04:20:23,20260205042023,958,710,551,960,713,785,713,41,1000,0,886,16,325,602,964,802,888,723,781,1000,958,710,551,960,713,785,713,41,1000,0,886,16,325,602,964,802,888,723,781,1000,4779d1a57487f13b8965dd97185a52d46735d32e,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-02-05T09:07:34,20260205090734,958,710,551,960,713,785,713,41,1000,0,887,16,325,602,964,802,888,723,781,1000,958,710,551,960,713,785,713,41,1000,0,887,16,325,602,964,802,888,723,781,1000,57fbf639ea5bd2e56dd9e1bef16497372385229d,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-02-05T16:37:36,20260205163736,958,710,551,960,713,785,713,41,1000,0,889,16,325,602,964,802,888,723,781,1000,958,710,551,960,713,785,713,41,1000,0,889,16,325,602,964,802,888,723,781,1000,ed1c0b4f0bbef7e458685d5f4743c73ae66cc3fd,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-02-05T21:36:33,20260205213633,958,710,551,960,713,785,713,41,1000,0,889,16,318,602,964,802,888,723,781,1000,958,710,551,960,713,785,713,41,1000,0,889,16,318,602,964,802,888,723,781,1000,279b57ef4bf056db1f9b37585877bdb3e6226658,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-02-06T08:45:30,20260206084530,958,710,551,960,713,785,713,41,1000,0,889,16,318,609,964,802,777,723,781,1000,958,710,551,960,713,785,713,41,1000,0,889,16,318,609,964,802,777,723,781,1000,edf80f39888560817c32781317ce95de65470d62,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
